a=00000101, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00000101, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00000101, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00000101, sa=0, s=0, e=1, bus wire=00000110
a=00000110, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00000110, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00000110, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00000110, sa=0, s=0, e=1, bus wire=00000111
a=00000111, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00000111, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00000111, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00000111, sa=0, s=0, e=1, bus wire=00001000
a=00001000, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00001000, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00001000, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00001000, sa=0, s=0, e=1, bus wire=00001001
a=00001001, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00001001, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00001001, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00001001, sa=0, s=0, e=1, bus wire=00001010
a=00001010, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00001010, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00001010, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00001010, sa=0, s=0, e=1, bus wire=00001011
a=00001011, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00001011, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00001011, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00001011, sa=0, s=0, e=1, bus wire=00001100
a=00001100, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00001100, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00001100, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00001100, sa=0, s=0, e=1, bus wire=00001101
a=00001101, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00001101, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00001101, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00001101, sa=0, s=0, e=1, bus wire=00001110
a=00001110, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00001110, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00001110, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00001110, sa=0, s=0, e=1, bus wire=00001111
a=00001111, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00001111, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00001111, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00001111, sa=0, s=0, e=1, bus wire=00010000
a=00010000, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00010000, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00010000, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00010000, sa=0, s=0, e=1, bus wire=00010001
a=00010001, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00010001, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00010001, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00010001, sa=0, s=0, e=1, bus wire=00010010
a=00010010, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00010010, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00010010, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00010010, sa=0, s=0, e=1, bus wire=00010011
a=00010011, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00010011, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00010011, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00010011, sa=0, s=0, e=1, bus wire=00010100
a=00010100, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00010100, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00010100, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00010100, sa=0, s=0, e=1, bus wire=00010101
a=00010101, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00010101, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00010101, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00010101, sa=0, s=0, e=1, bus wire=00010110
a=00010110, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00010110, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00010110, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00010110, sa=0, s=0, e=1, bus wire=00010111
a=00010111, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00010111, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00010111, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00010111, sa=0, s=0, e=1, bus wire=00011000
a=00011000, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00011000, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00011000, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00011000, sa=0, s=0, e=1, bus wire=00011001
a=00011001, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00011001, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00011001, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00011001, sa=0, s=0, e=1, bus wire=00011010
a=00011010, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00011010, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00011010, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00011010, sa=0, s=0, e=1, bus wire=00011011
a=00011011, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00011011, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00011011, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00011011, sa=0, s=0, e=1, bus wire=00011100
a=00011100, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00011100, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00011100, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00011100, sa=0, s=0, e=1, bus wire=00011101
a=00011101, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00011101, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00011101, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00011101, sa=0, s=0, e=1, bus wire=00011110
a=00011110, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00011110, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00011110, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00011110, sa=0, s=0, e=1, bus wire=00011111
a=00011111, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00011111, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00011111, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00011111, sa=0, s=0, e=1, bus wire=00100000
a=00100000, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00100000, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=00100000, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00100000, sa=0, s=0, e=1, bus wire=00100001
a=00100001, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=00100001, sa=1, s=0, e=0, bus wire=zzzzzzzz
