cs=0, we=0, oe=0, tb_data=0000000000000000, addr=0000, data=0000000000000000
cs=1, we=1, oe=0, tb_data=0011010100100100, addr=0000, data=0011010100100100
cs=1, we=1, oe=0, tb_data=0101111010000001, addr=0001, data=0101111010000001
cs=1, we=1, oe=0, tb_data=1101011000001001, addr=0010, data=1101011000001001
cs=1, we=1, oe=0, tb_data=0101011001100011, addr=0011, data=0101011001100011
cs=1, we=1, oe=0, tb_data=0111101100001101, addr=0100, data=0111101100001101
cs=1, we=1, oe=0, tb_data=1001100110001101, addr=0101, data=1001100110001101
cs=1, we=1, oe=0, tb_data=1000010001100101, addr=0110, data=1000010001100101
cs=1, we=1, oe=0, tb_data=0101001000010010, addr=0111, data=0101001000010010
cs=1, we=1, oe=0, tb_data=1110001100000001, addr=1000, data=1110001100000001
cs=1, we=1, oe=0, tb_data=1100110100001101, addr=1001, data=1100110100001101
cs=1, we=1, oe=0, tb_data=1111000101110110, addr=1010, data=1111000101110110
cs=1, we=1, oe=0, tb_data=1100110100111101, addr=1011, data=1100110100111101
cs=1, we=1, oe=0, tb_data=0101011111101101, addr=1100, data=0101011111101101
cs=1, we=1, oe=0, tb_data=1111011110001100, addr=1101, data=1111011110001100
cs=1, we=1, oe=0, tb_data=1110100111111001, addr=1110, data=1110100111111001
cs=1, we=1, oe=0, tb_data=0010010011000110, addr=1111, data=0010010011000110
cs=1, we=0, oe=1, tb_data=0010010011000110, addr=0000, data=xxxxxxxxxxxxxxxx
cs=1, we=0, oe=1, tb_data=0010010011000110, addr=0001, data=0011010100100100
cs=1, we=0, oe=1, tb_data=0010010011000110, addr=0010, data=0101111010000001
cs=1, we=0, oe=1, tb_data=0010010011000110, addr=0011, data=1101011000001001
cs=1, we=0, oe=1, tb_data=0010010011000110, addr=0100, data=0101011001100011
cs=1, we=0, oe=1, tb_data=0010010011000110, addr=0101, data=0111101100001101
cs=1, we=0, oe=1, tb_data=0010010011000110, addr=0110, data=1001100110001101
cs=1, we=0, oe=1, tb_data=0010010011000110, addr=0111, data=1000010001100101
cs=1, we=0, oe=1, tb_data=0010010011000110, addr=1000, data=0101001000010010
cs=1, we=0, oe=1, tb_data=0010010011000110, addr=1001, data=1110001100000001
cs=1, we=0, oe=1, tb_data=0010010011000110, addr=1010, data=1100110100001101
cs=1, we=0, oe=1, tb_data=0010010011000110, addr=1011, data=1111000101110110
cs=1, we=0, oe=1, tb_data=0010010011000110, addr=1100, data=1100110100111101
cs=1, we=0, oe=1, tb_data=0010010011000110, addr=1101, data=0101011111101101
cs=1, we=0, oe=1, tb_data=0010010011000110, addr=1110, data=1111011110001100
cs=1, we=0, oe=1, tb_data=0010010011000110, addr=1111, data=1110100111111001
Test Complete
Single_port_ram_tb.v:59: $finish called at 690 (1ns)
cs=1, we=0, oe=1, tb_data=0010010011000110, addr=1111, data=0010010011000110
